자치구,동,인구,면적,인구밀도
중랑구,서울특별시 중랑구 망우본동,"30,784",3.03,"10,160"
성북구,서울특별시 성북구 돈암1동,"15,379",0.49,"31,386"
성북구,서울특별시 성북구 돈암2동,"24,686",0.48,"51,429"
성북구,서울특별시 성북구 안암동,"16,580",1.33,"12,466"
성북구,서울특별시 성북구 보문동,"16,123",0.56,"28,791"
성북구,서울특별시 성북구 정릉1동,"18,929",0.44,"43,020"
성북구,서울특별시 성북구 정릉2동,"23,736",1.17,"20,287"
성북구,서울특별시 성북구 정릉3동,"16,847",3.71,"4,541"
성북구,서울특별시 성북구 정릉4동,"25,993",3.13,"8,304"
성북구,서울특별시 성북구 길음1동,"36,568",0.79,"46,289"
성북구,서울특별시 성북구 길음2동,"17,167",0.58,"29,598"
성북구,서울특별시 성북구 월곡1동,"27,108",0.81,"33,467"
성북구,서울특별시 성북구 월곡2동,"20,396",1.36,"14,997"
성북구,서울특별시 성북구 장위1동,"20,449",0.7,"29,213"
성북구,서울특별시 성북구 장위2동,"14,106",0.67,"21,054"
성북구,서울특별시 성북구 장위3동,"17,359",0.65,"26,706"
성북구,서울특별시 성북구 성북동,"17,404",2.86,"6,085"
성북구,서울특별시 성북구 삼선동,"24,144",0.92,"26,243"
성북구,서울특별시 성북구 동선동,"16,246",0.73,"22,255"
성북구,서울특별시 성북구 종암동,"41,353",1.46,"28,324"
성북구,서울특별시 성북구 석관동,"36,483",1.73,"21,088"
강북구,서울특별시 강북구 번1동,"19,441",0.66,"29,456"
강북구,서울특별시 강북구 번2동,"16,544",0.95,"17,415"
강북구,서울특별시 강북구 번3동,"17,605",1.1,"16,005"
강북구,서울특별시 강북구 수유1동,"21,468",1.67,"12,855"
강북구,서울특별시 강북구 수유2동,"21,595",0.57,"37,886"
강북구,서울특별시 강북구 수유3동,"23,907",0.72,"33,204"
강북구,서울특별시 강북구 삼양동,"24,742",0.91,"27,189"
강북구,서울특별시 강북구 미아동,"22,723",0.93,"24,433"
강북구,서울특별시 강북구 송중동,"30,934",1.01,"30,628"
강북구,서울특별시 강북구 송천동,"27,871",0.9,"30,968"
강북구,서울특별시 강북구 삼각산동,"32,118",0.62,"51,803"
강북구,서울특별시 강북구 우이동,"21,076",10.28,"2,050"
강북구,서울특별시 강북구 인수동,"31,545",3.28,"9,617"
도봉구,서울특별시 도봉구 쌍문1동,"22,016",1.24,"17,755"
도봉구,서울특별시 도봉구 쌍문2동,"19,406",0.54,"35,937"
도봉구,서울특별시 도봉구 쌍문3동,"16,922",0.5,"33,844"
도봉구,서울특별시 도봉구 쌍문4동,"19,297",0.52,"37,110"
도봉구,서울특별시 도봉구 방학1동,"29,236",0.69,"42,371"
도봉구,서울특별시 도봉구 방학2동,"20,473",0.74,"27,666"
도봉구,서울특별시 도봉구 방학3동,"27,973",2.62,"10,677"
도봉구,서울특별시 도봉구 창1동,"25,400",0.88,"28,864"
도봉구,서울특별시 도봉구 창2동,"29,912",1.05,"28,488"
도봉구,서울특별시 도봉구 창3동,"14,402",0.67,"21,496"
도봉구,서울특별시 도봉구 창4동,"27,286",0.95,"28,722"
도봉구,서울특별시 도봉구 창5동,"25,308",0.7,"36,154"
도봉구,서울특별시 도봉구 도봉1동,"21,810",8.72,"2,501"
노원구,서울특별시 노원구 월계1동,"23,085",1.16,"19,901"
노원구,서울특별시 노원구 월계2동,"27,615",1.94,"14,235"
노원구,서울특별시 노원구 월계3동,"30,790",1.17,"26,316"
노원구,서울특별시 노원구 공릉2동,"40,360",6.82,"5,918"
노원구,서울특별시 노원구 하계1동,"27,965",1.55,"18,042"
노원구,서울특별시 노원구 하계2동,"22,723",0.51,"44,555"
노원구,서울특별시 노원구 중계본동,"24,942",1.97,"12,661"
노원구,서울특별시 노원구 중계1동,"27,556",0.63,"43,740"
노원구,서울특별시 노원구 중계4동,"20,752",1.7,"12,207"
노원구,서울특별시 노원구 상계1동,"39,204",5.62,"6,976"
노원구,서울특별시 노원구 상계2동,"20,692",0.61,"33,921"
노원구,서울특별시 노원구 상계5동,"24,797",0.44,"56,357"
노원구,서울특별시 노원구 상계8동,"22,963",0.67,"34,273"
노원구,서울특별시 노원구 상계9동,"21,221",0.81,"26,199"
노원구,서울특별시 노원구 상계10동,"17,631",0.8,"22,039"
노원구,서울특별시 노원구 상계3.4동,"27,184",5.62,"4,837"
노원구,서울특별시 노원구 상계6.7동,"33,642",1.11,"30,308"
노원구,서울특별시 노원구 중계2.3동,"35,586",0.9,"39,540"
노원구,서울특별시 노원구 공릉1동,"38,324",1.41,"27,180"
은평구,서울특별시 은평구 녹번동,"37,815",1.79,"21,126"
은평구,서울특별시 은평구 불광1동,"40,022",3.13,"12,787"
은평구,서울특별시 은평구 갈현1동,"23,396",0.97,"24,120"
은평구,서울특별시 은평구 갈현2동,"29,239",0.96,"30,457"
은평구,서울특별시 은평구 구산동,"32,997",1.38,"23,911"
은평구,서울특별시 은평구 대조동,"27,579",0.85,"32,446"
은평구,서울특별시 은평구 응암1동,"31,265",1.2,"26,054"
은평구,서울특별시 은평구 응암2동,"27,776",0.78,"35,610"
은평구,서울특별시 은평구 신사1동,"27,776",0.84,"33,067"
은평구,서울특별시 은평구 신사2동,"20,945",1,"20,945"
은평구,서울특별시 은평구 증산동,"15,487",0.81,"19,120"
은평구,서울특별시 은평구 수색동,"11,258",1.29,"8,727"
은평구,서울특별시 은평구 진관동,"57,256",11.53,"4,966"
은평구,서울특별시 은평구 불광2동,"28,740",1.38,"20,826"
은평구,서울특별시 은평구 응암3동,"25,553",0.63,"40,560"
은평구,서울특별시 은평구 역촌동,"46,939",1.16,"40,465"
서대문구,서울특별시 서대문구 천연동,"18,049",0.97,"18,607"
서대문구,서울특별시 서대문구 홍제1동,"24,604",1.23,"20,003"
서대문구,서울특별시 서대문구 홍제3동,"15,983",1.05,"15,222"
서대문구,서울특별시 서대문구 홍제2동,"14,334",0.81,"17,696"
서대문구,서울특별시 서대문구 홍은1동,"23,266",1.58,"14,725"
서대문구,서울특별시 서대문구 홍은2동,"27,734",2.06,"13,463"
서대문구,서울특별시 서대문구 남가좌1동,"16,141",0.51,"31,649"
서대문구,서울특별시 서대문구 남가좌2동,"30,996",0.77,"40,255"
서대문구,서울특별시 서대문구 북가좌1동,"18,557",0.55,"33,740"
서대문구,서울특별시 서대문구 북가좌2동,"32,947",0.84,"39,223"
서대문구,서울특별시 서대문구 충현동,"21,229",1.12,"18,954"
서대문구,서울특별시 서대문구 북아현동,"16,956",0.46,"36,861"
